t,C(t)
8.844221115112304688e+00,1.323557734489440918e+00
8.894472122192382812e+00,1.325314998626708984e+00
8.944724082946777344e+00,1.322967171669006348e+00
8.994975090026855469e+00,1.326120734214782715e+00
9.045226097106933594e+00,1.328865766525268555e+00
9.095477104187011719e+00,1.328786015510559082e+00
9.145729064941406250e+00,1.324796080589294434e+00
9.195980072021484375e+00,1.325736999511718750e+00
9.246231079101562500e+00,1.324390888214111328e+00
9.296482086181640625e+00,1.322821855545043945e+00
9.346734046936035156e+00,1.321003675460815430e+00
9.396985054016113281e+00,1.321701884269714355e+00
9.447236061096191406e+00,1.326450467109680176e+00
9.497487068176269531e+00,1.328378915786743164e+00
9.547739028930664062e+00,1.326608896255493164e+00
9.597990036010742188e+00,1.328140616416931152e+00
9.648241043090820312e+00,1.329305648803710938e+00
9.698492050170898438e+00,1.328192353248596191e+00
9.748744010925292969e+00,1.329673051834106445e+00
9.798995018005371094e+00,1.330654740333557129e+00
9.849246025085449219e+00,1.330880284309387207e+00
9.899497032165527344e+00,1.328181147575378418e+00
9.949748992919921875e+00,1.324485778808593750e+00
1.000000000000000000e+01,1.323212385177612305e+00
