step,loss
419,97873.9609375
420,97882.734375
421,97890.8984375
422,97898.859375
423,97907.2734375
424,97915.5
425,97923.703125
426,97931.734375
427,97939.8203125
428,97947.8203125
429,97955.8359375
430,97963.9140625
431,97971.7890625
432,97979.5390625
433,97987.0859375
434,97995.1015625
435,98003.125
436,98010.6640625
437,98018.2890625
438,98025.7578125
439,98033.453125
440,98041.078125
441,98048.578125
442,98055.9609375
443,98063.0703125
444,98068.6796875
445,98075.9453125
446,98083.1484375
447,98090.328125
448,98099.015625
449,98106.3828125
450,98114.0625
451,98121.0859375
452,98127.875
453,98134.625
454,98141.4296875
455,98148.21875
456,98154.9609375
457,98161.6328125
458,98168.3828125
459,98175.234375
460,98181.625
461,98188.15625
462,98194.828125
463,98201.296875
464,98207.71875
465,98214.34375
466,98221.0234375
467,98227.4453125
468,98233.9375
469,98240.359375
470,98246.6796875
471,98253.0234375
472,98259.125
473,98265.3984375
474,98271.703125
475,98277.7265625
476,98283.796875
477,98289.8828125
478,98295.9609375
479,98301.9453125
480,98308.2109375
481,98313.9453125
482,98319.8203125
483,98325.8203125
484,98331.7890625
485,98337.65625
486,98343.53125
487,98349.5234375
488,98355.453125
489,98361.328125
490,98367.0078125
491,98372.578125
492,98378.140625
493,98383.9765625
494,98389.5390625
495,98395.171875
496,98400.6015625
497,98405.9765625
498,98411.421875
499,98416.8125
500,98422.078125
501,98427.4609375
502,98431.9921875
503,98437.359375
504,98442.65625
505,98447.7578125
506,98452.71875
507,98457.9609375
508,98462.984375
509,98468.078125
510,98473.25
511,98478.2890625
512,98483.3984375
513,98488.2578125
514,98494.3046875
515,98498.9609375
516,98503.9453125
517,98508.6171875
518,98513.390625
519,98518.171875
520,98522.8125
521,98527.4609375
522,98532.015625
523,98536.6171875
524,98540.953125
525,98545.4453125
526,98549.7421875
527,98554.109375
528,98558.1875
529,98562.265625
530,98566.6015625
531,98570.5390625
532,98574.46875
533,98578.5078125
534,98582.171875
535,98586.0625
536,98589.7890625
537,98593.78125
538,98597.71875
539,98601.2421875
540,98605.25
541,98609.0234375
542,98612.9375
543,98616.1640625
544,98619.7578125
545,98623.421875
546,98627.2109375
547,98630.640625
548,98634.140625
549,98638.0546875
550,98641.6875
551,98645.2578125
552,98649.0
553,98652.6875
554,98656.40625
555,98659.9765625
556,98663.8203125
557,98667.65625
558,98671.4453125
559,98676.578125
560,98680.453125
561,98684.421875
562,98688.1328125
563,98691.578125
564,98694.6953125
565,98698.7890625
566,98702.9375
567,98706.71875
568,98713.71875
569,98717.53125
570,98721.6640625
571,98725.546875
572,98729.5078125
573,98733.421875
574,98737.578125
575,98743.703125
576,98747.703125
577,98753.28125
578,98757.390625
579,98761.4296875
580,98765.1640625
581,98769.21875
582,98773.859375
583,98777.7578125
584,98783.78125
585,98787.9375
586,98792.15625
587,98796.5078125
588,98801.3515625
589,98806.0234375
590,98810.203125
591,98814.765625
592,98818.6875
593,98823.3984375
594,98827.34375
595,98832.2265625
596,98836.453125
597,98841.3125
598,98845.390625
599,98849.546875
600,98853.5859375
601,98857.765625
602,98861.9375
603,98866.09375
604,98870.546875
605,98874.6875
606,98878.9296875
607,98883.234375
608,98887.1796875
609,98891.3203125
610,98895.6171875
611,98899.5625
612,98903.7265625
613,98907.734375
614,98911.734375
615,98915.8359375
616,98919.765625
617,98924.0078125
618,98927.8671875
619,98931.8828125
620,98935.90625
621,98939.96875
622,98943.90625
623,98947.9453125
624,98951.9609375
625,98956.0390625
626,98959.34375
627,98962.4765625
628,98965.421875
629,98967.6484375
630,98970.0625
631,98972.2578125
632,98974.40625
633,98976.6171875
634,98979.0859375
635,98981.2890625
636,98984.3046875
637,98987.5
638,98990.265625
639,98993.4609375
640,98996.90625
641,99000.6953125
642,99004.3984375
643,99008.1953125
644,99011.9375
645,99015.765625
646,99019.0234375
647,99022.8828125
648,99026.5
649,99030.03125
650,99033.7421875
651,99037.609375
652,99041.1015625
653,99044.859375
654,99048.46875
655,99052.15625
656,99055.9609375
657,99059.3671875
658,99063.1328125
659,99066.9453125
660,99070.40625
661,99073.0546875
662,99075.46875
663,99077.078125
664,99079.2265625
665,99081.390625
666,99083.875
667,99085.9375
668,99088.6640625
669,99091.0546875
670,99094.9609375
671,99098.7890625
672,99102.6328125
673,99106.6328125
674,99110.578125
675,99114.609375
676,99118.453125
677,99122.40625
678,99126.2265625
679,99129.9296875
680,99133.9375
681,99137.609375
682,99141.4765625
683,99145.1796875
684,99148.6953125
685,99152.4296875
686,99156.171875
687,99159.8359375
688,99163.609375
689,99167.359375
690,99171.2421875
691,99174.9375
692,99178.6484375
693,99182.359375
694,99186.0234375
695,99189.6015625
696,99193.109375
697,99196.546875
698,99200.0625
699,99203.765625
700,99207.046875
701,99210.0078125
702,99213.390625
703,99216.8203125
704,99220.21875
705,99223.5625
706,99226.953125
707,99230.3515625
708,99233.7890625
709,99236.9296875
710,99240.28125
711,99243.4296875
712,99246.625
713,99249.3515625
714,99252.359375
715,99255.640625
716,99258.859375
717,99261.9140625
718,99265.2578125
719,99268.5078125
720,99271.6640625
721,99274.8828125
722,99278.1328125
723,99281.359375
724,99284.4296875
725,99287.65625
726,99290.515625
727,99293.625
728,99296.203125
729,99299.234375
730,99302.203125
731,99305.3359375
732,99308.4296875
733,99311.484375
734,99314.46875
735,99317.578125
736,99320.4921875
737,99323.7578125
738,99326.8515625
739,99329.7265625
740,99332.6640625
741,99335.5859375
742,99338.6171875
743,99341.5234375
744,99344.3984375
745,99347.4609375
746,99350.2421875
747,99353.078125
748,99356.0078125
749,99358.8359375
750,99361.640625
751,99364.390625
752,99367.3046875
753,99370.0546875
754,99372.7109375
755,99375.4765625
756,99378.0078125
757,99380.765625
758,99383.3515625
759,99386.0703125
760,99388.734375
761,99391.265625
762,99394.015625
763,99396.6015625
764,99399.046875
765,99401.6015625
766,99404.3203125
767,99406.734375
768,99409.2734375
769,99411.625
770,99414.125
771,99416.6328125
772,99419.140625
773,99421.390625
774,99423.90625
775,99426.234375
776,99428.5
777,99431.0
