u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
20,21,143.11184580762063,146.0009824867655,2.889136679144883,0.380300744293419,4.61113207111355,blue,local-road
20,22,143.11184580762063,147.42276534255961,4.310919534938989,0.14263940268542719,4.492301400309555,red,energy-similar
20,23,143.11184580762063,150.05352042078488,6.941674613164253,0.4424017295795446,4.642182563756613,violet,bridge/gap-road
20,24,143.11184580762063,150.92525761224147,7.813411804620841,0.12492660618843487,4.358518395872624,violet,bridge/gap-road
21,22,146.0009824867655,147.42276534255961,1.4217828557941061,0.2376613416079918,4.682451772456265,blue,local-road
21,23,146.0009824867655,150.05352042078488,4.0525379340193695,0.06210098528612562,4.832332935903323,red,energy-similar
21,24,146.0009824867655,150.92525761224147,4.924275125475958,0.5052273504818539,4.548668768019333,blue,local-road
21,25,146.0009824867655,153.02469381119886,7.02371132443335,0.06878949663089884,4.766887694944811,violet,bridge/gap-road
22,23,147.42276534255961,150.05352042078488,2.6307550782252633,0.2997623268941174,4.7135022650993275,blue,local-road
22,24,147.42276534255961,150.92525761224147,3.502492269681852,0.26756600887386206,4.429838097215337,blue,local-road
22,25,147.42276534255961,153.02469381119886,5.601928468639244,0.16887184497709296,4.648057024140815,red,energy-similar
22,26,147.42276534255961,156.11290929423785,8.690143951678237,0.2742154725092014,4.426513365397668,violet,bridge/gap-road
23,24,150.05352042078488,150.92525761224147,0.8717371914565888,0.5673283357679795,4.5797192606623955,blue,local-road
23,25,150.05352042078488,153.02469381119886,2.9711733904139805,0.13089048191702446,4.7979381875878735,red,energy-similar
23,26,150.05352042078488,156.11290929423785,6.059388873452974,0.5739777994033188,4.576394528844727,blue,local-road
23,27,150.05352042078488,157.59759181759404,7.544071396809159,0.029775341883482298,4.848495757604645,violet,bridge/gap-road
23,28,150.05352042078488,158.84998817142048,8.7964677506356,0.4015141026390321,4.66262637722687,violet,bridge/gap-road
24,25,150.92525761224147,153.02469381119886,2.0994361989573918,0.436437853850955,4.514274019703883,blue,local-road
24,26,150.92525761224147,156.11290929423785,5.187651681996385,0.006649463635339359,4.292730360960737,red,energy-similar
24,27,150.92525761224147,157.59759181759404,6.67233420535257,0.5375529938844972,4.564831589720654,violet,bridge/gap-road
24,28,150.92525761224147,158.84998817142048,7.924730559179011,0.16581423312894739,4.37896220934288,violet,bridge/gap-road
25,26,153.02469381119886,156.11290929423785,3.0882154830389936,0.4430873174862944,4.5109492878862145,blue,local-road
25,27,153.02469381119886,157.59759181759404,4.572898006395178,0.10111514003354216,4.783050516646132,red,energy-similar
25,28,153.02469381119886,158.84998817142048,5.825294360221619,0.27062362072200763,4.5971811362683574,blue,local-road
25,29,153.02469381119886,161.18896413759603,8.164270326397173,0.13738210406669982,4.663801894596011,violet,bridge/gap-road
26,27,156.11290929423785,157.59759181759404,1.4846825233561844,0.5442024575198365,4.561506857902986,blue,local-road
26,28,156.11290929423785,158.84998817142048,2.7370788771826255,0.17246369676428674,4.37563747752521,red,energy-similar
26,29,156.11290929423785,161.18896413759603,5.076054843358179,0.30570521341959456,4.442258235852864,blue,local-road
26,30,156.11290929423785,163.03070968718197,6.917800392944116,0.6457477092586155,4.612279483772374,violet,bridge/gap-road
27,28,157.59759181759404,158.84998817142048,1.252396353826441,0.3717387607555498,4.6477387062851285,blue,local-road
27,29,157.59759181759404,161.18896413759603,3.5913723200019945,0.23849724410024198,4.714359464612782,blue,local-road
27,30,157.59759181759404,163.03070968718197,5.433117869587932,0.10154525173877893,4.884380712532293,red,energy-similar
27,31,157.59759181759404,165.53706918790044,7.939477370306406,0.4657272992618928,4.600744437031957,violet,bridge/gap-road
28,29,158.84998817142048,161.18896413759603,2.3389759661755534,0.1332415166553078,4.528490084235008,red,energy-similar
28,30,158.84998817142048,163.03070968718197,4.1807215157614905,0.4732840124943287,4.698511332154518,blue,local-road
28,31,158.84998817142048,165.53706918790044,6.687081016479965,0.09398853850634303,4.414875056654182,violet,bridge/gap-road
28,32,158.84998817142048,167.1844399781745,8.334451806754032,0.39193640807683483,4.6578375299457715,violet,bridge/gap-road
29,30,161.18896413759603,163.03070968718197,1.8417455495859372,0.3400424958390209,4.765132090482172,blue,local-road
29,31,161.18896413759603,165.53706918790044,4.348105050304412,0.22723005516165085,4.481495814981836,blue,local-road
29,32,161.18896413759603,167.1844399781745,5.995475840578479,0.258694891421527,4.724458288273425,blue,local-road
29,33,161.18896413759603,169.09451541556882,7.905551277972791,0.17613346203976832,4.507044111542777,violet,bridge/gap-road
30,31,163.03070968718197,165.53706918790044,2.5063595007184745,0.5672725510006718,4.6515170629013465,blue,local-road
30,32,163.03070968718197,167.1844399781745,4.1537302909925415,0.08134760441749389,4.894479536192936,red,energy-similar
30,33,163.03070968718197,169.09451541556882,6.063805728386853,0.5161759578787892,4.677065359462288,blue,local-road
30,34,163.03070968718197,169.9119764794117,6.881266792229724,0.7190894155110321,4.575608630646166,violet,bridge/gap-road
31,32,165.53706918790044,167.1844399781745,1.647370790274067,0.48592494658317786,4.610843260692599,blue,local-road
31,33,165.53706918790044,169.09451541556882,3.557446227668379,0.05109659312188253,4.393429083961951,red,energy-similar
31,34,165.53706918790044,169.9119764794117,4.374907291511249,0.15181686451036036,4.29197235514583,red,energy-similar
31,35,165.53706918790044,173.41153651959155,7.874467331691108,0.02720634616399753,4.38148396048301,violet,bridge/gap-road
32,33,167.1844399781745,169.09451541556882,1.9100754373943118,0.43482835346129534,4.636391557253541,blue,local-road
32,34,167.1844399781745,169.9119764794117,2.727536501237182,0.6377418110935382,4.53493482843742,blue,local-road
32,35,167.1844399781745,173.41153651959155,6.2270965414170405,0.45871860041918033,4.624446433774598,blue,local-road
32,36,167.1844399781745,174.7541915233657,7.569751545191195,0.033809607020072185,4.870710537494224,violet,bridge/gap-road
33,34,169.09451541556882,169.9119764794117,0.8174610638428703,0.2029134576322429,4.317520651706772,blue,local-road
33,35,169.09451541556882,173.41153651959155,4.317021104022729,0.023890246957884997,4.407032257043951,red,energy-similar
33,36,169.09451541556882,174.7541915233657,5.659676107796884,0.4686379604813675,4.6532963607635764,blue,local-road
33,37,169.09451541556882,176.44143429771043,7.346918882141608,0.2276400050202536,4.53279738303302,violet,bridge/gap-road
34,35,169.9119764794117,173.41153651959155,3.4995600401798583,0.1790232106743579,4.305575528227829,red,energy-similar
34,36,169.9119764794117,174.7541915233657,4.842215043954013,0.6715514181136104,4.5518396319474554,blue,local-road
34,37,169.9119764794117,176.44143429771043,6.529457818298738,0.4305534626524965,4.431340654216898,blue,local-road
34,38,169.9119764794117,178.37740777609997,8.46543129668828,0.7981584827072776,4.615143164244289,violet,bridge/gap-road
