length,trace,word_len
1.9248473002387554,-3.0,4
6.17793980968921,-22.0,8
7.7415334005741885,-48.0,6
15.806453344328261,-2706.0,7
9.128479333716994,96.0,6
19.78788427428882,19810.0,8
6.661853105282506,28.0,5
16.37181480778272,-3590.0,8
12.200627849468942,446.0,8
5.986445692252767,-20.0,4
15.269640888284274,2069.0,7
6.4345439423145185,25.0,4
11.783273161427454,362.0,5
6.4345439423145185,-25.0,7
13.595878334714339,896.0,7
8.885025638883377,85.0,5
7.273785836928269,-38.0,2
8.050065321103236,56.0,5
10.306516360827404,173.0,7
3.525494348078233,6.0,2
8.253748275582243,62.0,4
12.910392182237242,636.0,5
10.70367134281774,211.0,7
8.317277706558334,64.0,7
9.128479333716994,96.0,4
6.929515813351728,-32.0,2
13.648744977133024,920.0,6
13.490469930796888,-850.0,5
15.30319069592306,-2104.0,8
6.267196947889648,-23.0,5
13.835409259075629,1010.0,6
8.908424121205423,-86.0,5
6.17793980968921,22.0,4
8.1545000925308,-59.0,4
6.17793980968921,22.0,5
7.901747381548901,52.0,4
9.043340817314593,-92.0,4
