step,loss,raw_loss,spacing_loss,range_loss,trace_proxy_loss,smooth_loss
30,645.6856079101562,632.281005859375,10.014304161071777,0.6763891577720642,0.08350586146116257,0.0002026767615461722
31,642.4940185546875,629.1300659179688,9.988587379455566,0.6733986735343933,0.08350586146116257,0.00020267617946956307
32,639.3153686523438,625.9918823242188,9.963027000427246,0.6704177856445312,0.08350584656000137,0.00020267555373720825
33,636.14208984375,622.859130859375,9.937402725219727,0.6674438714981079,0.08350584656000137,0.00020267489890102297
34,632.98486328125,619.7423095703125,9.911810874938965,0.6644818186759949,0.08350584656000137,0.00020267421496100724
35,629.8351440429688,616.6328125,9.886354446411133,0.6615241765975952,0.08350584656000137,0.00020267351646907628
36,626.7001953125,613.5380249023438,9.860925674438477,0.6585804224014282,0.08350584656000137,0.00020267277432139963
37,623.572265625,610.4501342773438,9.835556983947754,0.6556448936462402,0.08350582420825958,0.00020267201762180775
38,620.458984375,607.376708984375,9.810288429260254,0.652720034122467,0.08350582420825958,0.00020267120271455497
39,617.3527221679688,604.310302734375,9.785033226013184,0.6498006582260132,0.08350582420825958,0.00020267038780730218
40,614.2611694335938,601.2584228515625,9.759896278381348,0.6468963027000427,0.08350582420825958,0.00020266951469238847
41,611.1762084960938,598.2130126953125,9.734833717346191,0.6439980268478394,0.08350582420825958,0.00020266862702555954
42,608.1046752929688,595.1809692382812,9.709796905517578,0.6411097049713135,0.08350580930709839,0.00020266772480681539
43,605.0431518554688,592.1587524414062,9.684852600097656,0.6382318139076233,0.08350580930709839,0.00020266676438041031
44,601.992919921875,589.1477661132812,9.659996032714844,0.6353614926338196,0.08350580930709839,0.00020266577485017478
45,598.9515991210938,586.1455688476562,9.635112762451172,0.6325013637542725,0.08350580930709839,0.00020266478531993926
46,595.9234619140625,583.156494140625,9.61034107208252,0.6296515464782715,0.08350580930709839,0.00020266375213395804
47,592.904541015625,580.176513671875,9.585653305053711,0.6268088817596436,0.0835057944059372,0.0002026627043960616
48,589.8948974609375,577.2056274414062,9.56104564666748,0.6239783763885498,0.0835057944059372,0.0002026616275543347
49,586.8977661132812,574.2470703125,9.536552429199219,0.6211537718772888,0.0835057944059372,0.00020266053616069257
50,583.9102172851562,571.298095703125,9.511994361877441,0.6183410882949829,0.0835057944059372,0.00020265938655938953
51,580.9342651367188,568.3606567382812,9.487534523010254,0.6155363321304321,0.0835057944059372,0.00020265822240617126
52,577.9672241210938,565.4319458007812,9.46317195892334,0.6127387285232544,0.0835057720541954,0.00020265707280486822
53,575.0103759765625,562.513427734375,9.438813209533691,0.6099522113800049,0.0835057720541954,0.0002026558795478195
54,572.0660400390625,559.607177734375,9.414620399475098,0.6071742177009583,0.0835057720541954,0.00020265468629077077
55,569.1306762695312,556.7098999023438,9.390372276306152,0.6044080853462219,0.0835057720541954,0.00020265344937797636
56,566.205810546875,553.8228759765625,9.366303443908691,0.6016497611999512,0.0835057720541954,0.0002026521833613515
57,563.29296875,550.9478149414062,9.34226131439209,0.5988991856575012,0.08350575715303421,0.00020265093189664185
58,560.3882446289062,548.0809326171875,9.318178176879883,0.5961565971374512,0.08350575715303421,0.00020264965132810175
