truth_index,truth_t,nearest_candidate_t,nearest_distance
55,249.5736896447072,249.5736896447072,0.0
56,251.014947795016,249.5736896447072,1.441258150308812
57,253.06998674799948,255.30625645491403,2.2362697069145554
58,255.30625645491403,255.30625645491403,0.0
59,256.38071369443446,255.30625645491403,1.0744572395204273
60,258.6104394915314,260.80508450459683,2.19464501306544
61,259.874406989678,260.80508450459683,0.9306775149188411
62,260.8050845045969,260.80508450459683,5.684341886080802e-14
63,263.57389390487015,263.57389390487015,0.0
64,265.55785183887633,266.614973781501,1.0571219426246898
65,266.6149737815011,266.614973781501,5.684341886080802e-14
66,267.92191508282406,266.614973781501,1.306941301323036
67,269.9704490239976,269.9704490239976,0.0
68,271.494055641645,271.494055641645,0.0
69,273.4596091884033,271.494055641645,1.965553546758315
70,275.58749264934386,275.58749264934386,0.0
71,276.4520495031329,275.58749264934386,0.864556853789054
72,278.25074352984194,278.250743529842,5.684341886080802e-14
73,279.22925092774517,278.250743529842,0.9785073979031722
74,282.4651147650521,284.8359639809047,2.3708492158526155
75,283.2111857332339,284.8359639809047,1.624778247670804
76,284.83596398090475,284.8359639809047,5.684341886080802e-14
77,286.6674453630029,287.9119205014222,1.2444751384192614
78,287.9119205014222,287.9119205014222,0.0
79,289.5798549292188,287.9119205014222,1.667934427796638
80,291.8462913290674,293.5584341393562,1.7121428102888103
81,293.5584341393563,293.5584341393562,5.684341886080802e-14
82,294.9653696192655,293.5584341393562,1.4069354799092935
83,295.57325487895827,293.5584341393562,2.014820739602044
84,297.97927706194344,299.84032605372136,1.8610489917779205
85,299.8403260537213,299.84032605372136,5.684341886080802e-14
86,301.64932546219416,302.69674958960695,1.0474241274127962
87,302.6967495896069,302.69674958960695,5.684341886080802e-14
88,304.8643713408573,304.86437134085725,5.684341886080802e-14
89,305.7289126020368,304.86437134085725,0.8645412611795678
90,307.2194961281701,304.86437134085725,2.355124787312832
91,310.1094631467019,312.4278011806009,2.3183380338990105
92,311.165141530356,312.4278011806009,1.2626596502449274
93,312.4278011806009,312.4278011806009,0.0
94,313.9852857311589,313.9852857311589,0.0
95,315.47561608947575,313.9852857311589,1.4903303583168395
96,317.7348059423702,317.73480594237014,5.684341886080802e-14
97,318.8531042563166,317.73480594237014,1.1182983139464682
98,321.1601343091136,322.14455867248296,0.984424363369385
99,322.14455867248296,322.14455867248296,0.0
100,323.4669695575121,323.466969557512,5.684341886080802e-14
101,324.8628660517396,323.466969557512,1.3958964942275998
102,327.44390126190547,329.9532397282338,2.5093384663283587
103,329.03307168048093,329.9532397282338,0.9201680477528953
104,329.9532397282339,329.9532397282338,5.684341886080802e-14
105,331.4744675826634,329.9532397282338,1.5212278544295827
