u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
58,60,255.30625645491403,258.61043949153134,3.304183036617303,0.48416074391495023,4.534807137676861,blue,local-road
58,61,255.30625645491403,259.87440698967805,4.5681505347640154,0.26696430787084147,4.643405355698915,blue,local-road
58,62,255.30625645491403,260.80508450459683,5.4988280496828,0.2538460002771714,4.903810509772922,blue,local-road
59,60,256.38071369443446,258.61043949153134,2.229725797096876,0.12030100220082574,4.352877266819799,red,energy-similar
59,61,256.38071369443446,259.87440698967805,3.493693295243588,0.09689543384328303,4.461475484841853,red,energy-similar
59,62,256.38071369443446,260.80508450459683,4.424370810162372,0.6177057419912959,4.721880638915859,blue,local-road
59,63,256.38071369443446,263.57389390487015,7.193180210435685,0.36929668447780717,4.5976761101591155,violet,bridge/gap-road
60,61,258.61043949153134,259.87440698967805,1.2639674981467124,0.21719643604410876,4.40132498374144,blue,local-road
60,62,258.61043949153134,260.80508450459683,2.1946450130654966,0.7380067441921216,4.6617301378154465,blue,local-road
60,63,258.61043949153134,263.57389390487015,4.963454413338809,0.4895976866786329,4.537525609058703,blue,local-road
60,64,258.61043949153134,265.55785183887633,6.947412347344994,0.05283036239206407,4.266311584523354,violet,bridge/gap-road
61,62,259.87440698967805,260.80508450459683,0.9306775149187843,0.5208103081480129,4.770328355837501,blue,local-road
61,63,259.87440698967805,263.57389390487015,3.6994869151920966,0.27240125063452414,4.646123827080757,blue,local-road
61,64,259.87440698967805,265.55785183887633,5.683444849198281,0.27002679843617283,4.3749098025454085,blue,local-road
61,65,259.87440698967805,266.614973781501,6.740566791822971,0.04557968818761626,4.487133357669686,violet,bridge/gap-road
62,63,260.80508450459683,263.57389390487015,2.7688094002733123,0.24840905751348874,4.9065289811547625,blue,local-road
62,64,260.80508450459683,265.55785183887633,4.752767334279497,0.7908371065841857,4.635314956619414,blue,local-road
62,65,260.80508450459683,266.614973781501,5.809889276904187,0.5663899963356291,4.747538511743693,blue,local-road
62,66,260.80508450459683,267.92191508282406,7.116830578227223,0.7139684433763538,4.6737492882233305,violet,bridge/gap-road
63,64,263.57389390487015,265.55785183887633,1.9839579340061846,0.542428049070697,4.51111042786267,blue,local-road
63,65,263.57389390487015,266.614973781501,3.0410798766308744,0.3179809388221404,4.623333982986948,blue,local-road
63,66,263.57389390487015,267.92191508282406,4.34802117795391,0.46555938586286505,4.5495447594665865,blue,local-road
63,67,263.57389390487015,269.9704490239976,6.39655511912747,0.27021868845376495,4.647215108171136,blue,local-road
64,65,265.55785183887633,266.614973781501,1.0571219426246898,0.22444711024855657,4.3521199584516,blue,local-road
64,66,265.55785183887633,267.92191508282406,2.364063243947726,0.07686866320783192,4.278330734931238,red,energy-similar
64,67,265.55785183887633,269.9704490239976,4.412597185121285,0.272209360616932,4.376001083635788,blue,local-road
